customer_id,first_name,last_name,email,phone,city,country,registration_date
161,Maria,Kowalczyk,user161@interia.pl,+48 682124765,Poznań,CZECH REPUBLIC,2026-01-18
141,Agnieszka,Zając,user141@interia.pl,+48 632100652,Poznań,Czech Republic,2024-05-09
370,Marek,Zając,user370@onet.pl,+48 614464073,  Szczecin  ,Austria,28/12/2024
3,Krzysztof,Jankowski,user3@onet.pl,+48 645667651,Poznań,FRANCE,2025-04-01
213,Natalia,Kozłowski,user213@gmail.com,+48 690418714,Białystok,POLAND,16/05/2024
237,Michał,Jankowski,user237@interia.pl,+48 687380687,Białystok,france,29/11/2024
95,Michał,Kowalczyk,,+48 699947759,Warszawa,austria,14/06/2025
256,Monika,Kowalski,user256@o2.pl,+48 661380637,Białystok,czech republic,2025-12-08
128,Rafał,Jankowski,user128@o2.pl,+48 671216573,Lublin,france,12/06/2024
307,Maria,Kamiński,user307@onet.pl,+48 698294624,Szczecin,czech republic,2024-09-05
353,Maria,Woźniak,user353@o2.pl,+48 618409776,Szczecin,poland,18/06/2025
174,Paweł,Zając,user174@wp.pl,+48 612086184,Szczecin,GERMANY,2026-02-11
303,Joanna,Kwiatkowski,user303@onet.pl,+48 679526622,Gdańsk,austria,13/04/2024
224,Michał,Zając,user224@onet.pl,+48 610820219,Kielce,Austria,2025-03-11
189,Agnieszka,Kowalski,user189@o2.pl,+48 631250794,Warszawa,France,2025-11-14
25,Katarzyna,Kowalski,user25@gmail.com,+48 609196777,  Białystok  ,germany,28/08/2024
91,Joanna,Lewandowski,user91@o2.pl,+48 691509696,Łódź,poland,2024-05-04
194,Krzysztof,Kozłowski,user194@wp.pl,+48 676206305,Kielce,germany,12/02/2025
356,Piotr,Jankowski,user356@gmail.com,+48 686481420,Wrocław,FRANCE,2025-10-07
15,Piotr,Nowak,user15@gmail.com,+48 671498611,Łódź,Czech Republic,2024-10-10
312,Katarzyna,Kwiatkowski,user312@interia.pl,+48 650378298,Kraków,slovakia,19/10/2025
327,Michał,Kwiatkowski,user327@onet.pl,,Katowice,FRANCE,28/05/2025
2,Piotr,Wójcik,user2@o2.pl,,Wrocław,austria,2024-08-08
152,Łukasz,Kozłowski,user152@onet.pl,+48 608469210,Rzeszów,CZECH REPUBLIC,2025-09-11
337,Aleksandra,Szymański,user337@gmail.com,+48 645135227,Poznań,FRANCE,05/06/2024
252,Aleksandra,Szymański,user252@onet.pl,+48 632020689,Poznań,France,30/01/2025
61,Krzysztof,Kamiński,user61@gmail.com,+48 660505620,Wrocław,slovakia,2026-03-05
432,Agnieszka,Kowalczyk,user432@wp.pl,,Łódź,FRANCE,28/09/2025
368,Maria,Nowak,user368@onet.pl,,Gdańsk,france,2025-12-16
394,Monika,Woźniak,user394@wp.pl,+48 601496555,Lublin,GERMANY,2024-08-01
54,Krzysztof,Jankowski,user54@interia.pl,+48 610993268,  Katowice  ,SLOVAKIA,17/08/2025
364,Barbara,Mazur,user364@interia.pl,+48 644411953,  Poznań  ,germany,2025-08-06
326,Michał,Woźniak,user326@o2.pl,+48 623112256,Poznań,slovakia,23/02/2026
